scene,item,bgimg,charimg,message,option,note,template,music,sc_name
4-1,,學校教室-日.jpg,黑幕,"「我不去拿貨會被告嗎？」▼
「不管它好了。」▼
「我會因為這樣上警局嗎？」
「我的帳號會因為這樣被取消嗎？」
 「不能用這個帳號跟大家一起買東西一起聊天了嗎？」▼
「怎麼辦！」▼
 
在胡思亂想之下，又過了一天。
已經沒有時間了。▼
再不拿貨，東西就要退回去了！▼

",,訊息放置螢幕中間,introduce.html,,重大的選擇
4-1-1,,黑幕,,現在只能做出選擇了！為了「網拍幫」！喔喔！,"找子柔的學長吧！ 至少他年紀比較大，可能知道該怎麼辦。=>4-2
讓阿高在「比卡」問問，看有沒有好心的大人願意幫忙。=>4-3
抱歉了，阿哲！帳號賣掉的錢我會好好運用！=>4-4
這時候只能靠小辛在「兜音」的哥花錢買照片了。=>4-5","
這裡只會出現3-1所選擇的2個對應選項以及排除已經走過的路線",option.html,,
4-1-2,,學校教室-日.jpg,黑幕,一定有更好的方法，再想想看！加油吧！團長！,"找子柔的學長吧！ 至少他年紀比較大，可能知道怎麼辦比較好。=>4-2
讓阿高在「比卡」問問，看有沒有好心的大人願意幫忙。=>4-3
抱歉了，阿哲！帳號賣掉的錢我會好好運用！ =>4-4
這時候只能小辛在「兜音」的哥花錢買照片了。=>4-5
只能靠自己了，先從之前的E-mail來找找線索。真相只有一個！=>5-1","訊息放置螢幕中間
這裡只會出現3-1所選擇的2個對應選項以及排除已經走過的路線",option.html,,
4-2,,學校教室-日.jpg,,,,,,,
4-2-1,旁白,學校教室-日.jpg,,"今天子柔不用站交通服務隊，我趁放學時走到她的座位旁邊，跟她招招手。
子柔瞄了我一眼，把視線回到手上的書本。▼ 
我換了個位置，再跟她招招手。▼ 
子柔馬上把書挪到我跟她之間，眼睛還是直直地盯著書頁。▼ ",,,,,
4-2-1-1,,學校教室-日.jpg,子柔.png,"團長:班長～你生氣喔？▼ 
子柔:沒有。▼ 
團長:子柔～對不起啦～我那時候不是要說學長的壞話。
團長:我只是希望「網拍幫」還是我們這幾個人的秘密，所以不想跟別人說啊！你也不希望你買漫畫的事情傳出去吧。▼ 
團長:子柔～對不起啦～拜託啦～對不起啦～拜託啦～▼ 
子柔:我覺得學長不會害我們啦，他平常教我功課的時候都很有耐心。不管我怎麼提問題都會細心地教我。我覺得他是一個好人。▼ 
團長:那我們去找他幫忙吧！▼
子柔:先答應我一個條件。▼ 
團長:什麼？▼
子柔:不准再說我喜歡學長，不然切八段。▼
團長:喜歡看男生抱來抱去的漫畫喔？▼
",,,,,
4-2-1-2,,學校教室-日.jpg,子柔生氣.png,"子柔:閉嘴啦！還要不要去找學長。▼
團長:好啦好啦都聽你的！走走走！我們出發！▼",,,,,
4-2-2,,補習班.jpg,,,,,,run.mp3,
4-2-2-1,旁白,補習班.jpg,,"我跟子柔來到她的補習班。
裡面坐著一個穿著附近國中制服的哥哥，應該就是她口中的學長。▼
他戴著一個毛帽，高高瘦瘦、眼睛細細的，看起來稍微有點像是電視上會出現的韓國帥哥。
齁喔～原來子柔喜歡這種型的。▼",,,,,
4-2-2-2,,補習班.jpg,"學長.png
子柔.png","學長:嗨子柔～你來啦？這位是你同學嗎？▼
子柔:對啊，我班上的同學而已啦，哈哈。▼
團長:學長你好，我就是那個同學「而已」啦！我們遇到了麻煩，希望能拜託學長幫幫忙。▼
學長:發生了什麼事情呢？趁補習班上課前說來聽聽吧。▼",,,extended.html,,
